ID,Type,Start time,Completion time,Email,What is your age?,What is your gender?,Is English your first language?,What is the highest degree or level of education you have completed?,Read posts made by others,Make original posts,What color medal did the author take home?,Appropriate length?,Would this be content you would like to see on your social media feed?,Did the author effectively communicate their message in this post?,Based on this post  what is your judgment of the author's level of intelligence?,Do you think the author has strong writing skills?,What is your interest level in meeting the author of this post one-on-one if given the opportunity?,Were there any spelling or grammar mistakes in the post?,What was the author doing when they got into an accident?,Appropriate length?2,Would this be content you would like to see on your social media feed?2,Did the author effectively communicate their message in this post?2,Based on this post  what is your judgment of the author's level of intelligence?2,Do you think the author has strong writing skills?2,What is your interest level in meeting the author of this post one-on-one if given the opportunity?2,Were there any spelling or grammar mistakes in the post?2,What city did the author move to 25 years ago?,Appropriate length?3,Would this be content you would like to see on your social media feed?3,Did the author effectively communicate their message in this post?3,Based on this post  what is your judgment of the author's level of intelligence?3,Do you think the author has strong writing skills?3,What is your interest level in meeting the author of this post one-on-one if given the opportunity?3,Were there any spelling or grammar mistakes in the post?3,What wild animal did the author belief visited them recently?,Would this be content you would like to see on your social media feed?4,Did the author effectively communicate their message in this post?4,Based on this post  what is your judgment of the author's level of intelligence?4,Do you think the author has strong writing skills?4,What is your interest level in meeting the author of this post one-on-one if given the opportunity?4,Appropriate length?4,Were there any spelling or grammar mistakes in the post?4,How many heads did the mutated dog have?,Would this be content you would like to see on your social media feed?5,Did the author effectively communicate their message in this post?5,Based on this post  what is your judgment of the author's level of intelligence?5,Do you think the author has strong writing skills?5,What is your interest level in meeting the author of this post one-on-one if given the opportunity?5,Appropriate length?5,Were there any spelling or grammar mistakes in the post?5,Where did the author acquire his knowledge on grammatical competence?,Would this be content you would like to see on your social media feed?6,Did the author effectively communicate their message in this post?6,Based on this post  what is your judgment of the author's level of intelligence?6,Do you think the author has strong writing skills?6,What is your interest level in meeting the author of this post one-on-one if given the opportunity?6,Appropriate length?6,Were there any spelling or grammar mistakes in the post?6
12,C,3/12/21 10:12,3/12/21 10:17,anonymous,18 - 25 years old,Female,No,Bachelor's Degree,Daily,Less Often,Gold,Appropriate,7 (highest),7 (highest),5,7 (highest),5,None or did not notice any,Driving,Appropriate,5,7 (highest),5,6,5,1 or 2,Chicago  IL,Appropriate,5,6,5,5,3,1 or 2,Do not recall,6,5,5,5,5,Appropriate,Between 2 and 5,1,4,4,5,5,3,Appropriate,None or did not notice any,Podcast,5,5,4,5,4,Appropriate,None or did not notice any
13,C,3/12/21 11:39,3/12/21 11:48,anonymous,41+ years old,Male,Yes,Bachelor's Degree,Daily,Less Often,Gold,Appropriate,7 (highest),7 (highest),5,5,1 (lowest),None or did not notice any,Driving,Appropriate,6,7 (highest),5,5,1 (lowest),1 or 2,Kansas City  KS,Too long,4,4,4,3,1 (lowest),Between 6 and 9,Deer,5,7 (highest),6,6,1 (lowest),Far too long,None or did not notice any,Do not recall,2,2,5,5,1 (lowest),Appropriate,None or did not notice any,Podcast,5,7 (highest),5,5,1 (lowest),Appropriate,None or did not notice any
1,P,3/11/21 1:41,3/11/21 1:55,anonymous,41+ years old,Female,Yes,Master's Degree,Daily,Less Often,Gold,Appropriate,6,6,4,2,4,1 or 2,Driving,Appropriate,3,5,4,3,3,1 or 2,Chicago  IL,Too long,4,4,2,2,3,Between 6 and 9,Deer,2,4,3,2,2,Far too long,10+,1,3,4,3,4,3,Appropriate,1 or 2,Podcast,5,5,5,4,4,Appropriate,1 or 2
2,P,3/11/21 2:22,3/11/21 2:25,anonymous,18 - 25 years old,Female,Yes,Bachelor's Degree,Daily,Less Often,Gold,Too long,1 (lowest),4,1 (lowest),1 (lowest),1 (lowest),Between 2 and 5,Driving,Appropriate,1 (lowest),2,2,2,1 (lowest),Between 2 and 5,Do not recall,Far too long,1 (lowest),1 (lowest),1 (lowest),1 (lowest),1 (lowest),10+,Do not recall,1 (lowest),1 (lowest),1 (lowest),1 (lowest),1 (lowest),Far too long,10+,Do not recall,1 (lowest),1 (lowest),2,1 (lowest),1 (lowest),Appropriate,Between 6 and 9,Podcast,1 (lowest),1 (lowest),1 (lowest),1 (lowest),1 (lowest),Too long,10+
3,P,3/11/21 12:09,3/11/21 12:15,anonymous,41+ years old,Male,Yes,Bachelor's Degree,Less Often,Less Often,Gold,Appropriate,1 (lowest),4,4,4,1 (lowest),None or did not notice any,Driving,Appropriate,1 (lowest),4,4,2,1 (lowest),1 or 2,Kansas City  KS,Appropriate,1 (lowest),3,3,3,1 (lowest),1 or 2,Do not recall,1 (lowest),4,4,1 (lowest),1 (lowest),Appropriate,1 or 2,Do not recall,1 (lowest),1 (lowest),2,1 (lowest),1 (lowest),Appropriate,Between 2 and 5,Podcast,1 (lowest),4,4,3,1 (lowest),Appropriate,1 or 2
4,P,3/11/21 12:53,3/11/21 13:00,anonymous,41+ years old,Male,Yes,Bachelor's Degree,Daily,Less Often,Gold,Appropriate,6,6,3,2,2,1 or 2,Driving,Appropriate,2,3,1 (lowest),1 (lowest),1 (lowest),1 or 2,Chicago  IL,Appropriate,5,4,1 (lowest),1 (lowest),2,Between 6 and 9,Deer,6,3,1 (lowest),1 (lowest),1 (lowest),Too long,10+,2,3,2,2,2,1 (lowest),Appropriate,None or did not notice any,Podcast,2,2,3,2,1 (lowest),Appropriate,1 or 2
5,P,3/11/21 12:53,3/11/21 13:04,anonymous,36 - 40 years old,Male,Yes,Bachelor's Degree,Daily,Less Often,Gold,Appropriate,2,6,5,3,3,None or did not notice any,Driving,Too long,2,5,2,2,2,Between 2 and 5,Chicago  IL,Too long,4,5,1 (lowest),1 (lowest),4,10+,Deer,2,6,2,1 (lowest),3,Far too long,10+,2,4,5,5,3,4,Appropriate,1 or 2,Podcast,4,6,4,3,3,Appropriate,1 or 2
6,P,3/11/21 16:40,3/11/21 17:00,anonymous,36 - 40 years old,Female,Yes,Trade School,Daily,Daily,Gold,Appropriate,6,5,5,6,6,1 or 2,Driving,Too long,4,3,3,2,4,1 or 2,Kansas City  KS,Too long,2,2,2,2,3,Between 6 and 9,Do not recall,5,6,6,5,5,Appropriate,1 or 2,1,4,4,4,4,4,Appropriate,1 or 2,Podcast,2,2,3,3,3,Too short,None or did not notice any
1,T,3/11/21 0:10,3/11/21 0:15,anonymous,18 - 25 years old,Male,Yes,Bachelor's Degree,Daily,Less Often,Gold,Appropriate,3,3,3,3,3,Between 2 and 5,Driving,Appropriate,4,4,4,4,4,1 or 2,Kansas City  KS,Too long,4,4,4,4,4,1 or 2,Do not recall,3,3,3,3,3,Too long,Between 6 and 9,3,5,5,5,5,5,Appropriate,1 or 2,Do not recall,5,5,5,5,5,Appropriate,1 or 2
2,T,3/11/21 0:14,3/11/21 0:20,anonymous,26 - 30 years old,Male,No,Master's Degree,Daily,Less Often,Do not recall,Too long,2,4,2,1 (lowest),1 (lowest),Between 2 and 5,Driving,Too long,1 (lowest),2,2,2,1 (lowest),Between 2 and 5,Chicago  IL,Far too long,1 (lowest),1 (lowest),3,3,1 (lowest),Between 2 and 5,Do not recall,1 (lowest),1 (lowest),2,2,1 (lowest),Far too long,1 or 2,Do not recall,7 (highest),4,6,5,6,Appropriate,None or did not notice any,Podcast,5,3,4,4,5,Appropriate,Between 2 and 5
3,T,3/11/21 9:18,3/11/21 9:24,anonymous,31 - 35 years old,Male,Yes,Master's Degree,Prefer not to say,Less Often,Gold,Appropriate,1 (lowest),5,4,4,1 (lowest),Between 2 and 5,Driving,Appropriate,1 (lowest),4,4,4,1 (lowest),Between 2 and 5,Chicago  IL,Appropriate,1 (lowest),5,4,4,1 (lowest),Between 2 and 5,Do not recall,1 (lowest),3,2,2,1 (lowest),Too long,Between 6 and 9,1,1 (lowest),4,4,5,1 (lowest),Appropriate,None or did not notice any,Podcast,1 (lowest),5,4,4,1 (lowest),Appropriate,1 or 2
4,T,3/11/21 14:58,3/11/21 15:10,anonymous,36 - 40 years old,Female,Yes,Bachelor's Degree,Daily,Weekly,Gold,Appropriate,6,6,6,6,3,None or did not notice any,Driving,Appropriate,5,4,4,4,3,Between 2 and 5,Kansas City  KS,Appropriate,4,3,3,3,2,Between 6 and 9,Deer,4,4,3,3,2,Appropriate,10+,1,5,5,6,5,3,Appropriate,1 or 2,Podcast,5,5,5,5,3,Appropriate,1 or 2
5,T,3/11/21 14:41,3/11/21 15:15,anonymous,41+ years old,Male,Yes,Bachelor's Degree,Daily,Weekly,Gold,Appropriate,7 (highest),7 (highest),7 (highest),4,2,None or did not notice any,Driving,Appropriate,2,5,2,1 (lowest),1 (lowest),1 or 2,Chicago  IL,Too long,3,4,2,2,1 (lowest),Between 2 and 5,Do not recall,1 (lowest),1 (lowest),3,2,1 (lowest),Too long,10+,1,2,4,2,1 (lowest),1 (lowest),Too long,Between 6 and 9,Podcast,5,5,3,2,1 (lowest),Appropriate,Between 2 and 5
6,T,3/11/21 15:58,3/11/21 16:11,anonymous,41+ years old,Male,Yes,High School,Daily,Daily,Do not recall,Appropriate,2,5,3,5,2,None or did not notice any,Driving,Appropriate,2,4,3,3,2,1 or 2,Chicago  IL,Appropriate,2,3,2,2,2,Between 2 and 5,Do not recall,2,3,4,3,2,Appropriate,Between 6 and 9,Do not recall,3,4,5,4,3,Appropriate,None or did not notice any,Podcast,4,4,4,5,3,Appropriate,1 or 2
7,T,3/11/21 17:05,3/11/21 17:10,anonymous,31 - 35 years old,Male,Yes,Master's Degree,Daily,Less Often,Gold,Appropriate,4,4,5,4,1 (lowest),1 or 2,Driving,Too long,3,4,2,1 (lowest),1 (lowest),1 or 2,Kansas City  KS,Far too long,3,4,3,1 (lowest),1 (lowest),1 or 2,Do not recall,1 (lowest),3,1 (lowest),4,1 (lowest),Far too long,None or did not notice any,1,2,3,2,1 (lowest),1 (lowest),Appropriate,Between 2 and 5,Podcast,3,4,4,1 (lowest),2,Appropriate,1 or 2
8,T,3/11/21 18:33,3/11/21 18:54,anonymous,41+ years old,Male,Yes,Bachelor's Degree,Daily,Daily,Do not recall,Appropriate,5,4,3,3,3,Between 2 and 5,Driving,Appropriate,4,5,4,3,3,Between 2 and 5,Chicago  IL,Appropriate,1 (lowest),2,2,2,1 (lowest),Between 6 and 9,Deer,1 (lowest),1 (lowest),2,2,1 (lowest),Appropriate,10+,2,5,6,5,6,4,Appropriate,None or did not notice any,Podcast,4,4,4,5,2,Appropriate,1 or 2
9,T,3/11/21 19:59,3/11/21 20:17,anonymous,41+ years old,Male,Yes,High School,Daily,Daily,Gold,Appropriate,4,6,4,4,2,None or did not notice any,Driving,Appropriate,4,3,4,4,2,None or did not notice any,Chicago  IL,Too long,2,3,5,3,3,Between 2 and 5,Do not recall,1 (lowest),2,3,2,2,Far too long,10+,Do not recall,1 (lowest),4,5,5,3,Appropriate,None or did not notice any,Podcast,2,2,4,3,2,Appropriate,1 or 2
10,T,3/11/21 21:00,3/11/21 21:07,anonymous,41+ years old,Male,Yes,Master's Degree,Daily,Less Often,Gold,Appropriate,6,5,2,1 (lowest),3,Between 2 and 5,Do not recall,Appropriate,3,2,2,2,2,Between 2 and 5,Chicago  IL,Too long,5,3,1 (lowest),1 (lowest),3,Between 6 and 9,Deer,4,2,1 (lowest),1 (lowest),2,Too long,10+,Do not recall,2,1 (lowest),3,3,3,Appropriate,Between 2 and 5,Podcast,2,3,5,4,4,Appropriate,Between 2 and 5
11,T,3/11/21 22:24,3/11/21 22:29,anonymous,41+ years old,Female,Yes,Bachelor's Degree,Daily,Daily,Gold,Appropriate,6,6,6,6,6,None or did not notice any,Running,Appropriate,6,6,6,6,6,None or did not notice any,Chicago  IL,Appropriate,4,4,3,2,2,Between 2 and 5,Deer,3,2,2,2,2,Far too long,Between 2 and 5,1,2,2,1 (lowest),1 (lowest),1 (lowest),Appropriate,Between 2 and 5,Podcast,3,2,2,2,2,Appropriate,Between 2 and 5
12,T,3/11/21 22:28,3/11/21 22:35,anonymous,36 - 40 years old,Female,Yes,Bachelor's Degree,Daily,Daily,Gold,Appropriate,5,3,2,2,3,Between 2 and 5,Driving,Appropriate,3,3,2,1 (lowest),2,Between 6 and 9,Chicago  IL,Far too long,2,2,1 (lowest),1 (lowest),2,10+,Deer,2,1 (lowest),1 (lowest),1 (lowest),2,Far too long,10+,1,2,3,3,2,2,Appropriate,1 or 2,Podcast,3,3,5,4,4,Appropriate,1 or 2
13,T,3/12/21 11:57,3/12/21 12:05,anonymous,41+ years old,Male,Yes,Ph.D. or higher,Daily,Less Often,Gold,Appropriate,6,6,6,5,5,None or did not notice any,Do not recall,Appropriate,5,5,5,4,3,Between 2 and 5,Do not recall,Too long,4,4,4,3,2,Between 2 and 5,Moose,2,2,3,3,2,Far too long,Between 6 and 9,1,5,5,5,4,5,Appropriate,1 or 2,Podcast,6,6,6,5,6,Appropriate,1 or 2
